iter	Passed	Remaining
883	2429	318
884	2434	316
885	2438	313
886	2440	310
887	2442	308
888	2444	305
889	2447	302
890	2450	299
891	2454	297
892	2456	294
893	2459	291
894	2461	288
895	2463	285
896	2465	283
897	2469	280
898	2471	277
899	2472	274
900	2474	271
901	2477	269
902	2479	266
903	2485	263
904	2487	261
905	2490	258
906	2493	255
907	2496	252
908	2499	250
909	2503	247
910	2505	244
911	2507	241
912	2509	239
913	2511	236
914	2514	233
915	2516	230
916	2517	227
917	2519	225
918	2522	222
919	2524	219
920	2529	216
921	2531	214
922	2533	211
923	2535	208
924	2537	205
925	2539	202
926	2541	200
927	2544	197
928	2548	194
929	2550	191
930	2552	189
931	2554	186
932	2555	183
933	2560	180
934	2561	178
935	2563	175
936	2565	172
937	2567	169
938	2569	166
939	2573	164
940	2575	161
941	2577	158
942	2578	155
943	2581	153
944	2583	150
945	2584	147
946	2587	144
947	2591	142
948	2592	139
949	2595	136
950	2597	133
951	2599	131
952	2601	128
953	2605	125
954	2607	122
955	2609	120
956	2611	117
957	2614	114
958	2615	111
959	2618	109
960	2621	106
961	2624	103
962	2626	100
963	2632	98
964	2637	95
965	2639	92
966	2641	90
967	2644	87
968	2646	84
969	2650	81
970	2652	79
971	2653	76
972	2655	73
973	2656	70
974	2658	68
975	2660	65
976	2663	62
977	2665	59
978	2667	57
979	2669	54
980	2671	51
981	2673	49
982	2675	46
983	2679	43
984	2680	40
985	2682	38
986	2683	35
987	2685	32
988	2687	29
989	2690	27
990	2694	24
991	2696	21
992	2698	19
993	2700	16
994	2702	13
995	2704	10
996	2706	8
997	2709	5
998	2710	2
999	2712	0
